Método,Métrica antes,Métrica depois
Ciphers/VigenereCipher.js,4,0
Ciphers/VigenereCipher.js,4,3
Ciphers/VigenereCipher.js,4,3
Ciphers/VigenereCipher.js,4,3
Conversions/RgbHsvConversion.js,5,4
Conversions/RgbHsvConversion.js,5,4
Conversions/RgbHsvConversion.js,5,4
Conversions/RgbHsvConversion.js,5,4
Conversions/RgbHsvConversion.js,5,0
Data-Structures/Stack/Stack.js,7,0
Data-Structures/Tree/AVLTree.js,20,0
Data-Structures/Tree/BinarySearchTree.js,14,0
Dynamic-Programming/Shuf.js,6,0
Dynamic-Programming/Shuf.js,6,0
Dynamic-Programming/Shuf.js,6,0
Dynamic-Programming/Shuf.js,6,0
Dynamic-Programming/Shuf.js,6,0
Dynamic-Programming/Shuf.js,6,0
Graphs/PrimMST.js,2,0
Graphs/PrimMST.js,2,0
Graphs/PrimMST.js,2,0
Graphs/PrimMST.js,2,0
Graphs/PrimMST.js,2,0
Graphs/PrimMST.js,2,0
Graphs/PrimMST.js,2,0
Graphs/PrimMST.js,2,0
Graphs/PrimMST.js,2,0
Graphs/PrimMST.js,2,0
Graphs/PrimMST.js,2,0
Graphs/PrimMST.js,2,0
Graphs/PrimMST.js,2,0
Graphs/PrimMST.js,2,0
Graphs/PrimMST.js,2,0
Graphs/PrimMST.js,2,0
Graphs/PrimMST.js,2,0
Maths/test/GetEuclidGCD.test.js,2,0
Maths/test/GetEuclidGCD.test.js,2,0
Maths/test/WhileLoopFactorial.test.js,2,0
Maths/test/WhileLoopFactorial.test.js,2,0
Maths/test/ZellersCongruenceAlgorithm.test.js,4,0
Maths/test/ZellersCongruenceAlgorithm.test.js,4,0
Maths/test/ZellersCongruenceAlgorithm.test.js,4,6
Maths/test/ZellersCongruenceAlgorithm.test.js,4,6
Project-Euler/Problem023.js,3,0
Project-Euler/Problem023.js,3,0
Recursive/FloodFill.js,4,2
Recursive/FloodFill.js,4,2
Recursive/FloodFill.js,4,0
Recursive/FloodFill.js,4,0
Recursive/KochSnowflake.manual-test.js,2,0
Recursive/KochSnowflake.manual-test.js,2,0
Sorts/BogoSort.js,3,2
Sorts/BogoSort.js,3,0
Sorts/BogoSort.js,3,2
Sorts/HeapSortV2.js,3,0
Sorts/HeapSortV2.js,3,0
Sorts/HeapSortV2.js,3,1
Sorts/OddEvenSort.js,2,0
Sorts/OddEvenSort.js,2,1
Sorts/TopologicalSort.js,6,2
Sorts/TopologicalSort.js,6,2
Sorts/TopologicalSort.js,6,0
Sorts/TopologicalSort.js,6,0
Sorts/TopologicalSort.js,6,0
Sorts/TopologicalSort.js,6,0
