Método,Métrica antes,Métrica depois
Bit-Manipulation/IsPowerOfTwo.js,17.845,16.73
Cache/LFUCache.js,15.502,0
Cache/LFUCache.js,0.056,0
Cache/LFUCache.js,0.056,0
Cache/LFUCache.js,43.651,0
Cache/LFUCache.js,49.714,0
Cache/LFUCache.js,26.4,0
Cache/LFUCache.js,0.667,0
Cache/LFUCache.js,1.161,0
Cache/LFUCache.js,91.1,0
Cache/LFUCache.js,29.507,0
Cache/LFUCache.js,88.6,0
Cache/LFUCache.js,8.585,0
Cache/LFUCache.js,63.388,0
Cache/LFUCache.js,210.996,0
Cache/LFUCache.js,170.573,0
Cache/LFUCache.js,5.823,0
Cache/LFUCache.js,11.752,0
Cache/LFUCache.js,25.095,0
Cache/LRUCache.js,89.409,0.667
Cache/Memoize.js,25.095,28.123
Ciphers/Atbash.js,45.311,43.938
Ciphers/CaesarsCipher.js,14.497,13.893
Ciphers/ROT13.js,45.111,43.556
Ciphers/VigenereCipher.js,6.644,0
Ciphers/VigenereCipher.js,662.974,804.041
Ciphers/VigenereCipher.js,533.61,661.063
Conversions/ArbitraryBase.js,0.132,0.056
Conversions/BinaryToHex.js,376.035,319.975
Conversions/DateDayDifference.js,578.591,610.812
Conversions/LowerCaseConversion.js,43.437,41.699
Conversions/RailwayTimeConversion.js,587.438,604.428
Conversions/RgbHsvConversion.js,2071.839,2964.92
Conversions/RgbHsvConversion.js,2.667,0
Conversions/TitleCaseConversion.js,229.878,196.404
Conversions/UpperCaseConversion.js,43.437,41.699
Conversions/test/TemperatureConversion.test.js,6.589,9.105
Data-Structures/Array/LocalMaximomPoint.js,618.794,650.959
Data-Structures/Array/NumberOfLocalMaximumPoints.js,304.737,330.489
Data-Structures/Linked-List/DoublyLinkedList.js,4.5,5.264
Data-Structures/Linked-List/SinglyLinkedList.js,2.339,2.872
Data-Structures/Stack/Stack.js,52.222,45.455
Data-Structures/Stack/Stack.js,3.119,0
Data-Structures/Tree/AVLTree.js,155.351,145.673
Data-Structures/Tree/AVLTree.js,24.31,0
Data-Structures/Tree/BinarySearchTree.js,67.251,59.736
Data-Structures/Tree/BinarySearchTree.js,4.5,59.736
Data-Structures/Tree/BinarySearchTree.js,32.672,27.181
Data-Structures/Tree/BinarySearchTree.js,0.967,0
Data-Structures/Tree/Trie.js,41.136,27.276
Dynamic-Programming/EditDistance.js,1944.188,1678.612
Dynamic-Programming/LevenshteinDistance.js,36.667,42.618
Dynamic-Programming/LevenshteinDistance.js,2042.77,2008.82
Dynamic-Programming/LongestPalindromicSubsequence.js,1163.048,975
Dynamic-Programming/LongestPalindromicSubsequence.js,0,4.429
Dynamic-Programming/Shuf.js,5.917,0
Dynamic-Programming/Shuf.js,693.92,0
Dynamic-Programming/Shuf.js,0.645,0
Dynamic-Programming/Shuf.js,0.132,0
Dynamic-Programming/Shuf.js,194.431,0
Dynamic-Programming/Shuf.js,63.423,0
Dynamic-Programming/TrappingRainWater.js,991.875,858.211
Dynamic-Programming/tests/MaxProductOfThree.test.js,12.926,12.339
Graphs/KruskalMST.js,1.29,4.386
Graphs/KruskalMST.js,3.119,4.386
Graphs/PrimMST.js,4.614,0
Graphs/PrimMST.js,10.833,0
Graphs/PrimMST.js,870.055,1350.629
Graphs/PrimMST.js,564.053,750.754
Graphs/PrimMST.js,2571.111,3485.23
Graphs/PrimMST.js,1.29,3.899
Maths/AverageMedian.js,325.457,274.588
Maths/CoPrimeCheck.js,26.046,24.806
Maths/DecimalExpansion.js,1736.975,1814.657
Maths/Fibonacci.js,0,1.292
Maths/IsDivisible.js,60.811,65.872
Maths/MatrixMultiplication.js,94.215,79.956
Maths/Palindrome.js,63.583,70.889
Maths/PascalTriangle.js,274.683,21.189
