Método,Métrica antes,Métrica depois
common/models/User-Identity.js,2,0
common/models/User-Identity.js,2,0
common/models/User-Identity.js,1,0
common/models/User-Identity.js,2,0
common/models/User-Identity.js,1,0
common/models/User-Identity.js,1,0
common/models/User-Identity.js,2,0
common/models/User-Identity.js,2,0
common/models/User-Identity.js,1,0
common/models/User-Identity.js,1,0
common/models/User-Identity.js,2,0
common/models/User-Identity.js,1,0
common/models/User-Identity.js,1,0
common/models/user.js,4,0
common/models/user.js,2,3
common/models/user.js,2,0
common/models/user.js,1,0
common/models/user.js,2,0
common/models/user.js,1,0
common/models/user.js,1,0
common/models/user.js,2,0
common/models/user.js,1,0
common/models/user.js,2,0
common/models/user.js,2,0
common/models/user.js,1,0
server/boot/authentication.js,2,0
server/boot/authentication.js,6,0
server/boot/authentication.js,2,0
server/boot/authentication.js,1,0
server/boot/authentication.js,1,0
server/boot/authentication.js,2,0
server/boot/authentication.js,1,0
server/boot/challenge.js,1,0
server/boot/challenge.js,3,0
server/boot/challenge.js,1,5
server/boot/challenge.js,1,5
server/boot/challenge.js,1,5
server/boot/challenge.js,1,2
server/boot/donate.js,1,3
server/boot/donate.js,1,3
server/boot/settings.js,2,1
server/boot/settings.js,2,0
server/boot/settings.js,1,0
server/models/donation.js,2,0
server/models/donation.js,1,0
server/utils/auth.js,1,0
server/utils/getDynamicPropsForUser.js,1,0
server/utils/getDynamicPropsForUser.js,2,0
server/utils/getDynamicPropsForUser.js,1,0
server/utils/getDynamicPropsForUser.js,2,0
server/utils/middleware.js,2,3
server/utils/react.js,2,1
server/utils/redirection.js,1,0
server/utils/redirection.js,6,0
server/utils/redirection.js,1,0
server/utils/redirection.js,2,0
server/utils/redirection.js,2,0
server/utils/redirection.js,1,0
server/utils/user-stats.js,1,0
server/utils/user-stats.js,2,0
server/utils/user-stats.js,1,0
server/utils/user-stats.js,2,0
server/utils/user-stats.test.js,2,1
