Método,Métrica antes,Métrica depois
common/models/User-Identity.js,3.214,0
common/models/User-Identity.js,8.387,0
common/models/User-Identity.js,2.813,0
common/models/User-Identity.js,2,0
common/models/User-Identity.js,1,0
common/models/User-Identity.js,0.625,0
common/models/User-Identity.js,4.667,0
common/models/User-Identity.js,3.214,0
common/models/User-Identity.js,6.214,0
common/models/User-Identity.js,3.056,0
common/models/User-Identity.js,2,0
common/models/User-Identity.js,1,0
common/models/User-Identity.js,0.625,0
common/models/user.js,15,16
common/models/user.js,10.725,9.75
common/models/user.js,1,2
common/models/user.js,10.714,0
common/models/user.js,19.643,17.857
common/models/user.js,9.194,8.25
common/models/user.js,3,0
common/models/user.js,1.5,0
common/models/user.js,3,0
common/models/user.js,1,0
common/models/user.js,2.25,0
common/models/user.js,5,0
common/models/user.js,3.667,0
common/models/user.js,3,0
common/models/user.js,2.357,0
common/models/user.js,0.5,0
server/boot/authentication.js,6.316,0
server/boot/authentication.js,13.125,0
server/boot/authentication.js,5.5,0
server/boot/authentication.js,1,0
server/boot/authentication.js,4.55,0
server/boot/certificate.js,29.2,31.025
server/boot/challenge.js,28.5,29.73
server/boot/challenge.js,1.5,0
server/boot/challenge.js,4.9,4.2
server/boot/challenge.js,5.538,0
server/boot/challenge.js,5.231,12.776
server/boot/challenge.js,5.231,12.776
server/boot/challenge.js,5.318,12.776
server/boot/challenge.js,2.5,6.125
server/boot/donate.js,2.75,6.333
server/boot/donate.js,1,6.333
server/boot/randomAPIs.js,5.824,5
server/boot/randomAPIs.js,2,2.5
server/boot/settings.js,2.889,0.5
server/boot/settings.js,4.433,0
server/boot/settings.js,1,0
server/component-passport.js,3,0.5
server/models/donation.js,4.472,4.083
server/models/donation.js,2.25,0
server/models/donation.js,1.5,0
server/rss/index.js,1.875,1.5
server/utils/auth.js,4.714,5.25
server/utils/auth.js,8.346,0
server/utils/cast-to-observable.js,3.714,4.643
server/utils/date-utils.test.js,2.727,2.8
server/utils/getDynamicPropsForUser.js,3,0
server/utils/getDynamicPropsForUser.js,1.875,0
server/utils/getDynamicPropsForUser.js,3,0
server/utils/getDynamicPropsForUser.js,1.875,0
server/utils/getDynamicPropsForUser.js,9.5,8.382
server/utils/getSetAccessToken.js,18.37,19.519
server/utils/in-memory-cache.test.js,0.5,1
server/utils/middleware.js,2,7.917
server/utils/react.js,3.75,0.5
server/utils/redirection.js,7.7,0
server/utils/redirection.js,23.833,0
server/utils/redirection.js,1.5,0
server/utils/redirection.js,4.2,0
server/utils/redirection.js,8.125,0
server/utils/redirection.js,5,0
server/utils/user-stats.js,10.476,10.216
server/utils/user-stats.js,3,0
server/utils/user-stats.js,1.875,0
server/utils/user-stats.js,3,0
server/utils/user-stats.js,1.875,0
server/utils/user-stats.test.js,3,3.455
server/utils/user-stats.test.js,4.2,3.455
server/utils/user-stats.test.js,3.5,3.455
server/utils/user-stats.test.js,6.571,3.455
server/utils/user-stats.test.js,3.5,3.455
server/utils/user-stats.test.js,3.5,3.455
server/utils/user-stats.test.js,4.2,3.455
server/utils/user-stats.test.js,3.538,3.455
server/utils/user-stats.test.js,2.133,3.455
server/utils/user-stats.test.js,2,3.455
server/utils/user-stats.test.js,1.5,3.455
server/utils/user-stats.test.js,3.846,3.455
server/utils/user-stats.test.js,1.95,3.455
server/utils/user-stats.test.js,5,3.455
server/utils/user-stats.test.js,6.4,3.455
server/utils/user-stats.test.js,5.556,3.455
server/utils/user-stats.test.js,7.2,3.455
server/utils/user-stats.test.js,3.5,3.455
server/utils/user-stats.test.js,3.714,3.455
server/utils/user-stats.test.js,3.857,3.455
server/utils/user-stats.test.js,2.133,3.455
server/utils/user-stats.test.js,2,3.455
