Método,Métrica antes,Métrica depois
common/models/User-Credential.js,9.829,9.251
common/models/User-Identity.js,1314.656,1300.048
common/models/User-Identity.js,11.523,0
common/models/User-Identity.js,188.243,0
common/models/User-Identity.js,9.251,0
common/models/User-Identity.js,2.585,0
common/models/User-Identity.js,0.44,0
common/models/User-Identity.js,0.484,0
common/models/User-Identity.js,26.963,0
common/models/User-Identity.js,11.523,0
common/models/User-Identity.js,89.784,0
common/models/User-Identity.js,12.28,0
common/models/User-Identity.js,2.585,0
common/models/User-Identity.js,0.44,0
common/models/User-Identity.js,0.484,0
common/models/user.js,261.701,277.435
common/models/user.js,221.391,196.685
common/models/user.js,2.585,2.298
common/models/user.js,2.585,2.298
common/models/user.js,23.441,22.325
common/models/user.js,0.444,2.667
common/models/user.js,75.423,0
common/models/user.js,2.585,2.298
common/models/user.js,2.585,2.298
common/models/user.js,2.585,2.298
common/models/user.js,2.667,2.183
common/models/user.js,2.585,2.298
common/models/user.js,2.585,2.298
common/models/user.js,2.585,2.298
common/models/user.js,790.189,708.054
common/models/user.js,314.684,101.355
common/models/user.js,5.537,0
common/models/user.js,1.292,0
common/models/user.js,3.447,0
common/models/user.js,0.444,0
common/models/user.js,1.741,0
common/models/user.js,32.207,0
common/models/user.js,16.713,0
common/models/user.js,10.157,0
common/models/user.js,6.09,0
common/models/user.js,0.132,0
common/utils/auth.js,8.408,7.848
common/utils/empty-protector.js,12.327,11.557
server/boot/authentication.js,221.312,218.769
server/boot/authentication.js,76.486,0
server/boot/authentication.js,280.508,0
server/boot/authentication.js,39.227,0
server/boot/authentication.js,0.862,0
server/boot/authentication.js,24.797,0
server/boot/certificate.js,33.73,32.525
server/boot/certificate.js,2.585,2.298
server/boot/certificate.js,2788.563,2965.822
server/boot/challenge.js,2032.09,2100.191
server/boot/challenge.js,4.324,0
server/boot/challenge.js,15.615,11.301
server/boot/challenge.js,56.203,0
server/boot/challenge.js,2.585,2.298
server/boot/challenge.js,40.845,382.731
server/boot/challenge.js,2.585,2.298
server/boot/challenge.js,40.845,382.731
server/boot/challenge.js,2.585,2.298
server/boot/challenge.js,38.308,382.731
server/boot/challenge.js,2.585,2.298
server/boot/challenge.js,3.962,33.236
server/boot/donate.js,2.924,2.632
server/boot/donate.js,60.827,59.306
server/boot/donate.js,109.909,107.836
server/boot/donate.js,12.535,59.306
server/boot/donate.js,0.645,59.306
server/boot/randomAPIs.js,59.102,55.474
server/boot/randomAPIs.js,5.577,8.99
server/boot/settings.js,14.847,0.056
server/boot/settings.js,670.724,665.315
server/boot/settings.js,41.737,0
server/boot/settings.js,149.831,147.86
server/boot/settings.js,0.645,0
server/boot/user.js,22.815,21.864
server/boot/user.js,8.969,8.408
server/boot/user.js,403.696,400.155
server/component-passport.js,12.262,0.222
server/middlewares/passport-login.js,23.385,22.55
server/models/donation.js,50.767,42.139
server/models/donation.js,1.741,0
server/models/donation.js,2.106,0
server/rss/index.js,2.339,0.833
server/rss/index.js,1.292,0.833
server/utils/auth.js,21.322,22.665
server/utils/auth.js,90.179,0
server/utils/cast-to-observable.js,18.56,23.117
server/utils/date-utils.test.js,17.167,16.583
server/utils/getDynamicPropsForUser.js,21.962,0
server/utils/getDynamicPropsForUser.js,2.339,0
server/utils/getDynamicPropsForUser.js,10.153,0
server/utils/getDynamicPropsForUser.js,2.339,0
server/utils/getDynamicPropsForUser.js,178.176,277.12
server/utils/getSetAccessToken.js,670.088,710.4
server/utils/in-memory-cache.test.js,0.132,0.444
server/utils/middleware.js,6.772,74.53
server/utils/middleware.js,6.15,5.766
server/utils/react.js,7.925,0.056
server/utils/redirection.js,76.408,0
server/utils/redirection.js,491.905,0
server/utils/redirection.js,1.638,0
server/utils/redirection.js,12.915,0
server/utils/redirection.js,101.843,0
server/utils/redirection.js,19.916,0
server/utils/user-stats.js,236.438,382.407
server/utils/user-stats.js,21.962,0
server/utils/user-stats.js,2.339,0
server/utils/user-stats.js,10.153,0
server/utils/user-stats.js,2.339,0
server/utils/user-stats.test.js,10.519,29.242
server/utils/user-stats.test.js,39.089,29.242
server/utils/user-stats.test.js,34.222,29.242
server/utils/user-stats.test.js,239.048,29.242
server/utils/user-stats.test.js,34.222,29.242
server/utils/user-stats.test.js,34.222,29.242
server/utils/user-stats.test.js,39.089,29.242
server/utils/user-stats.test.js,36.962,29.242
server/utils/user-stats.test.js,37.986,29.242
server/utils/user-stats.test.js,33.629,29.242
server/utils/user-stats.test.js,6.167,29.242
server/utils/user-stats.test.js,43.669,29.242
server/utils/user-stats.test.js,10.824,29.242
server/utils/user-stats.test.js,110.247,29.242
server/utils/user-stats.test.js,215.188,29.242
server/utils/user-stats.test.js,137.637,29.242
server/utils/user-stats.test.js,89.865,29.242
server/utils/user-stats.test.js,34.222,29.242
server/utils/user-stats.test.js,43.883,29.242
server/utils/user-stats.test.js,46.465,29.242
server/utils/user-stats.test.js,37.986,29.242
server/utils/user-stats.test.js,33.629,29.242
