Método,Métrica antes,Métrica depois
algorithms/cryptography/hill-cipher/_test_/hillCipher.test.js,0.5,0.75
algorithms/cryptography/rail-fence-cipher/railFenceCipher.js,1.333,1
algorithms/cryptography/rail-fence-cipher/railFenceCipher.js,3.75,0
algorithms/graph/eulerian-path/eulerianPath.js,26.057,27.143
algorithms/graph/kruskal/kruskal.js,9.625,8.25
algorithms/graph/strongly-connected-components/stronglyConnectedComponents.js,2.8,4.375
algorithms/math/binary-floating-point/floatAsBinaryString.js,14.444,0
algorithms/math/binary-floating-point/floatAsBinaryString.js,1,1.5
algorithms/math/binary-floating-point/floatAsBinaryString.js,1,1.5
algorithms/math/fourier-transform/__test__/FourierTester.js,4.813,5.133
algorithms/math/prime-factors/__test__/primeFactors.test.js,3.6,0
algorithms/math/prime-factors/__test__/primeFactors.test.js,4.074,14.224
algorithms/math/square-root/__test__/squareRoot.test.js,1.5,12.4
algorithms/ml/k-means/__test__/kMeans.test.js,2.5,0.5
algorithms/ml/knn/kNN.js,7.7,6.6
algorithms/search/linear-search/__test__/linearSearch.test.js,7.7,6.6
algorithms/sets/longest-common-subsequence/longestCommonSubsequence.js,71.647,73.118
algorithms/sets/maximum-subarray/dcMaximumSubarraySum.js,7.5,6.667
algorithms/sets/power-set/btPowerSet.js,12.65,0
algorithms/sets/power-set/btPowerSet.js,1,1.5
algorithms/sorting/radix-sort/RadixSort.js,4,9.5
algorithms/statistics/weighted-random/__test__/weightedRandom.test.js,1,1.5
algorithms/string/longest-common-substring/longestCommonSubstring.js,54.737,53.158
algorithms/string/rabin-karp/rabinKarp.js,25,24.5
algorithms/string/regular-expression-matching/regularExpressionMatching.js,59.211,58
algorithms/uncategorized/recursive-staircase/recursiveStaircaseBF.js,10.5,12
data-structures/doubly-linked-list/__test__/DoublyLinkedList.test.js,7.7,6.6
data-structures/heap/__test__/MaxHeap.test.js,7.7,6.6
data-structures/heap/__test__/MinHeap.test.js,7.7,6.6
data-structures/linked-list/__test__/LinkedList.test.js,7.7,6.6
data-structures/tree/binary-search-tree/__test__/BinarySearchTree.test.js,14.25,13.063
data-structures/tree/binary-search-tree/__test__/BinarySearchTreeNode.test.js,14.25,13.063
utils/comparator/__test__/Comparator.test.js,7.7,6.6
