Método,Métrica antes,Métrica depois
algorithms/cryptography/rail-fence-cipher/railFenceCipher.js,11,0
algorithms/math/binary-floating-point/floatAsBinaryString.js,3,0
algorithms/math/binary-floating-point/floatAsBinaryString.js,3,4
algorithms/math/binary-floating-point/floatAsBinaryString.js,3,4
algorithms/math/prime-factors/__test__/primeFactors.test.js,5,0
algorithms/math/prime-factors/__test__/primeFactors.test.js,5,4
algorithms/math/prime-factors/__test__/primeFactors.test.js,5,4
algorithms/math/prime-factors/__test__/primeFactors.test.js,5,4
algorithms/math/prime-factors/__test__/primeFactors.test.js,5,4
algorithms/sets/power-set/btPowerSet.js,2,0
