Método,Métrica antes,Métrica depois
algorithms/cryptography/hill-cipher/_test_/hillCipher.test.js,0.222,0.264
algorithms/cryptography/rail-fence-cipher/railFenceCipher.js,1.032,0.444
algorithms/cryptography/rail-fence-cipher/railFenceCipher.js,7.613,0
algorithms/graph/detect-cycle/detectDirectedCycle.js,6.919,6.342
algorithms/graph/eulerian-path/eulerianPath.js,1707.831,1761.021
algorithms/graph/kruskal/kruskal.js,40.696,31.974
algorithms/graph/strongly-connected-components/stronglyConnectedComponents.js,6.41,11.557
algorithms/math/binary-floating-point/floatAsBinaryString.js,415.408,0
algorithms/math/binary-floating-point/floatAsBinaryString.js,0.645,0.396
algorithms/math/binary-floating-point/floatAsBinaryString.js,0.645,0.396
algorithms/math/bits/isPositive.js,9.043,8.397
algorithms/math/fourier-transform/__test__/FourierTester.js,52.005,53.414
algorithms/math/is-power-of-two/isPowerOfTwoBitwise.js,13.565,12.596
algorithms/math/prime-factors/__test__/primeFactors.test.js,8.303,0
algorithms/math/prime-factors/__test__/primeFactors.test.js,205.615,1238.242
algorithms/math/square-root/__test__/squareRoot.test.js,5.537,1086.456
algorithms/ml/k-means/__test__/kMeans.test.js,3.949,0.056
algorithms/ml/knn/kNN.js,33.738,26.638
algorithms/search/linear-search/__test__/linearSearch.test.js,33.738,26.638
algorithms/sets/longest-common-subsequence/longestCommonSubsequence.js,4741.76,4723.353
algorithms/sets/maximum-subarray/dcMaximumSubarraySum.js,65.885,56.025
algorithms/sets/power-set/btPowerSet.js,126.56,0
algorithms/sets/power-set/btPowerSet.js,0.444,0.396
algorithms/sorting/radix-sort/RadixSort.js,20.837,89.436
algorithms/statistics/weighted-random/__test__/weightedRandom.test.js,0.352,3.17
algorithms/string/longest-common-substring/longestCommonSubstring.js,3230.586,3028.134
algorithms/string/rabin-karp/rabinKarp.js,671.262,637.063
algorithms/string/regular-expression-matching/regularExpressionMatching.js,4181.272,3770.927
algorithms/uncategorized/recursive-staircase/recursiveStaircaseBF.js,62.737,71.542
data-structures/doubly-linked-list/__test__/DoublyLinkedList.test.js,33.738,26.638
data-structures/heap/__test__/MaxHeap.test.js,33.738,26.638
data-structures/heap/__test__/MinHeap.test.js,33.738,26.638
data-structures/linked-list/__test__/LinkedList.test.js,33.738,26.638
data-structures/tree/binary-search-tree/__test__/BinarySearchTree.test.js,136.861,120.225
data-structures/tree/binary-search-tree/__test__/BinarySearchTreeNode.test.js,136.861,120.225
utils/comparator/__test__/Comparator.test.js,33.738,26.638
